feature,importance
hjorth__complexity__F3-C3,0.00029305526
freq__beta__F7-T7,0.00029123452
freq__gamma__C4-P4,0.00029023297
time__mean__P4-O2,0.00029016644
freq__beta__C4-P4,0.00028936268
time__ptp__F7-T7,0.00028720795
freq__beta__P3-O1,0.00028111268
freq__theta__T7-FT9,0.00027921976
time__mean__FT9-FT10,0.00027715083
time__mean__FP2-F4,0.0002705611
freq__beta__T7-P7,0.00027027185
freq__gamma__P7-O1,0.0002682238
hjorth__complexity__P8-O2,0.0002637139
hjorth__mobility__P4-O2,0.00026340559
freq__delta__T7-FT9,0.00025943873
freq__alpha__F8-T8,0.00025855107
freq__alpha__FP1-F3,0.00024522864
time__mean__FT10-T8,0.00024497605
freq__alpha__FP2-F4,0.00024459328
time__ptp__C4-P4,0.00024404618
freq__delta__FP2-F4,0.00024060669
entropy__perm__F3-C3,0.00023515438
entropy__spectral__T7-P7,0.00022870406
time__mean__FP2-F8,0.00022704175
hjorth__mobility__C4-P4,0.00022554655
freq__alpha__T8-P8,0.00021251128
freq__gamma__CZ-PZ,0.00020704795
time__line_length__FP2-F8,0.00020692876
entropy__spectral__FP1-F7,0.00020363013
freq__alpha__C3-P3,0.00020010161
freq__gamma__FZ-CZ,0.00019265644
entropy__spectral__P7-T7,0.00018561272
time__mean__T7-P7,0.00018054292
time__rms__FP1-F3,0.00018043346
freq__delta__F8-T8,0.00017850685
hjorth__activity__FP2-F8,0.0001618744
freq__gamma__F4-C4,0.00016096605
time__rms__F8-T8,0.00014173421
entropy__perm__C3-P3,0.00013256558
hjorth__activity__FP1-F3,0.00012964115
entropy__spectral__F8-T8,0.00012410109
time__mean__P8-O2,0.000121132915
time__rms__T7-FT9,0.00012078979
hjorth__mobility__F4-C4,0.00011594989
time__mean__CZ-PZ,0.00011414382
hjorth__activity__C4-P4,0.00011315928
entropy__spectral__P8-O2,0.000106436084
time__rms__P8-O2,0.00010513091
hjorth__activity__F8-T8,0.000101767626
freq__theta__FP2-F4,9.484189e-05
time__ptp__FP2-F4,8.0925354e-05
hjorth__activity__FP2-F4,7.434228e-05
freq__alpha__FP2-F8,6.258749e-05
time__ptp__T7-P7,6.209937e-05
freq__gamma__P4-O2,5.935051e-05
time__mean__F3-C3,5.6697358e-05
time__mean__FP1-F7,4.9225844e-05
hjorth__mobility__FT10-T8,4.1657586e-05
hjorth__mobility__T7-P7,3.7430003e-05
time__rms__P4-O2,2.022149e-05
hjorth__activity__F3-C3,9.4267725e-06
freq__gamma__T7-P7,7.973059e-06
freq__gamma__F7-T7,3.9352108e-06
hjorth__activity__C3-P3,0.0
hjorth__activity__CZ-PZ,0.0
hjorth__activity__F4-C4,0.0
hjorth__activity__F7-T7,0.0
hjorth__activity__FT10-T8,0.0
hjorth__activity__P4-O2,0.0
hjorth__activity__P7-T7,0.0
hjorth__activity__P8-O2,0.0
hjorth__activity__T7-FT9,0.0
hjorth__activity__T7-P7,0.0
hjorth__activity__T8-P8,0.0
time__rms__T7-P7,0.0
