feature,importance
freq__beta__F4-C4,0.0014629391
freq__theta__FT9-FT10,0.0014598502
time__mean__F8-T8,0.0014404609
hjorth__complexity__CZ-PZ,0.0014358711
time__rms__P7-T7,0.0014231777
time__line_length__P7-T7,0.001416433
freq__delta__C3-P3,0.0014161523
time__mean__P7-T7,0.0013832877
entropy__spectral__F8-T8,0.0013803338
freq__alpha__FT10-T8,0.0013743973
freq__beta__P7-O1,0.0013725776
entropy__spectral__C3-P3,0.0013569058
time__std__C4-P4,0.0013504961
hjorth__complexity__T8-P8,0.00134579
time__rms__F4-C4,0.0013392856
freq__gamma__T8-P8,0.0013345736
freq__beta__FT9-FT10,0.0013332533
time__ptp__P7-O1,0.0013108023
time__rms__FT9-FT10,0.0013058608
freq__gamma__FT10-T8,0.0012904769
hjorth__mobility__P4-O2,0.0012777917
freq__theta__F3-C3,0.001269566
time__ptp__C3-P3,0.0012610384
entropy__spectral__P7-O1,0.0012596073
time__mean__F4-C4,0.0012577253
entropy__perm__P7-T7,0.0012472271
freq__delta__CZ-PZ,0.0012364099
entropy__perm__P7-O1,0.0012106169
entropy__spectral__CZ-PZ,0.0011846146
entropy__perm__CZ-PZ,0.0011677074
hjorth__mobility__T8-P8,0.0011610107
freq__theta__F7-T7,0.0011472529
freq__theta__C4-P4,0.001142837
time__mean__FP1-F7,0.0011169369
hjorth__complexity__FZ-CZ,0.0011020859
freq__theta__P4-O2,0.001094663
freq__alpha__P7-O1,0.001080275
freq__delta__FT9-FT10,0.0010713597
entropy__perm__FT9-FT10,0.001070581
freq__alpha__F4-C4,0.0010486939
entropy__perm__FT10-T8,0.0010469609
freq__alpha__FP1-F3,0.0010209064
entropy__perm__F4-C4,0.0010178864
time__std__FP1-F3,0.0010154635
freq__theta__T7-P7,0.0010120413
freq__gamma__FP2-F8,0.0009921107
entropy__perm__T8-P8,0.00097510364
time__mean__P4-O2,0.00097212236
entropy__perm__P8-O2,0.00096858805
time__ptp__FP1-F7,0.000962491
freq__beta__P8-O2,0.0009580665
entropy__perm__T7-P7,0.00095380447
freq__alpha__C3-P3,0.0009478561
time__line_length__C3-P3,0.00094612275
freq__alpha__FZ-CZ,0.00093995896
time__ptp__T8-P8,0.0009390035
entropy__spectral__FT10-T8,0.0009267796
freq__gamma__P7-T7,0.0009212562
hjorth__complexity__P3-O1,0.0009205019
freq__gamma__FP1-F7,0.000913839
time__std__T8-P8,0.0009119363
time__line_length__P7-O1,0.0009093024
hjorth__complexity__P7-T7,0.0009055182
time__rms__F3-C3,0.00089858123
hjorth__mobility__FP2-F8,0.0008973836
time__mean__FP2-F8,0.0008947115
freq__alpha__FP2-F8,0.0008923742
time__mean__FT10-T8,0.000887386
time__rms__C3-P3,0.0008867341
freq__delta__F7-T7,0.00088475435
hjorth__mobility__P3-O1,0.0008845959
hjorth__complexity__P8-O2,0.0008583871
entropy__spectral__C4-P4,0.0008551522
entropy__spectral__FT9-FT10,0.00085290725
time__line_length__F4-C4,0.0008500311
time__ptp__T7-FT9,0.0008451755
freq__delta__T7-P7,0.0008331763
freq__gamma__C4-P4,0.00081376464
hjorth__activity__FZ-CZ,0.0008123693
time__line_length__F3-C3,0.0008031925
freq__alpha__P3-O1,0.00080049934
time__ptp__FP2-F4,0.00079597876
freq__delta__F4-C4,0.0007945243
time__mean__T8-P8,0.00078703545
freq__gamma__FP2-F4,0.0007867094
time__line_length__F8-T8,0.00078505964
freq__theta__CZ-PZ,0.00077741337
hjorth__complexity__F3-C3,0.0007520987
time__std__F8-T8,0.00075056864
freq__alpha__F7-T7,0.00074610556
time__line_length__P4-O2,0.0007431634
freq__beta__FP1-F7,0.0007409709
entropy__perm__C3-P3,0.00073940103
freq__theta__P7-O1,0.0007351009
freq__delta__FP2-F4,0.00073389837
time__std__FP2-F8,0.00072289177
hjorth__complexity__FP1-F3,0.00072140404
time__ptp__P8-O2,0.0007169984
entropy__perm__F3-C3,0.0007105888
hjorth__mobility__C4-P4,0.0006923217
time__mean__FZ-CZ,0.00069196586
time__line_length__C4-P4,0.0006900527
freq__beta__FT10-T8,0.0006827643
time__mean__FP2-F4,0.0006804631
freq__beta__F8-T8,0.00067366805
freq__delta__T7-FT9,0.0006732438
time__ptp__P3-O1,0.0006711951
freq__gamma__T7-FT9,0.0006374538
hjorth__activity__P8-O2,0.0006360697
time__rms__FP1-F3,0.0006321892
freq__beta__T8-P8,0.00062082545
hjorth__complexity__FT10-T8,0.0006014685
time__line_length__FP2-F4,0.00059918466
entropy__spectral__T7-P7,0.0005960876
time__mean__F7-T7,0.0005849302
entropy__spectral__P3-O1,0.0005746521
freq__alpha__C4-P4,0.0005694227
time__ptp__FT9-FT10,0.0005688871
freq__delta__FZ-CZ,0.00055996096
entropy__perm__FP2-F8,0.0005597782
time__mean__CZ-PZ,0.0005371295
entropy__spectral__F7-T7,0.0005323523
hjorth__mobility__F8-T8,0.0005310789
hjorth__mobility__P8-O2,0.0005231463
freq__beta__T7-P7,0.00051961537
entropy__perm__FP1-F3,0.0005153559
entropy__spectral__P4-O2,0.00050701067
hjorth__complexity__T7-FT9,0.0004948761
time__ptp__P7-T7,0.00049078034
entropy__spectral__FP1-F3,0.0004892278
time__line_length__FZ-CZ,0.0004833577
freq__beta__FP2-F8,0.0004777129
entropy__spectral__P7-T7,0.00047434052
hjorth__activity__T7-FT9,0.0004740175
hjorth__complexity__T7-P7,0.00047394156
time__std__T7-FT9,0.00046400586
freq__alpha__F8-T8,0.000459431
time__line_length__CZ-PZ,0.00045915673
freq__delta__FP1-F3,0.00045798323
time__std__F3-C3,0.0004563202
time__std__P7-O1,0.00045345453
time__ptp__F3-C3,0.00045211017
hjorth__activity__F4-C4,0.00044721345
freq__delta__P7-O1,0.00044439777
time__ptp__C4-P4,0.00044126046
hjorth__complexity__FP2-F8,0.0004404545
freq__theta__FP1-F7,0.0004324017
time__mean__P8-O2,0.00043234433
hjorth__complexity__P7-O1,0.00042474252
time__ptp__F8-T8,0.00042232304
freq__gamma__P3-O1,0.00041223486
entropy__perm__F8-T8,0.0004052285
entropy__spectral__F4-C4,0.00039778097
hjorth__mobility__T7-FT9,0.0003927477
time__ptp__FT10-T8,0.00038426268
hjorth__complexity__FP1-F7,0.00038375412
time__std__C3-P3,0.0003815793
freq__beta__P4-O2,0.00037006746
time__std__P3-O1,0.00036619243
freq__alpha__FP1-F7,0.00036265576
freq__delta__P3-O1,0.00035206505
time__mean__FP1-F3,0.00034961125
hjorth__mobility__FP1-F3,0.00034824124
freq__alpha__T8-P8,0.0003482238
entropy__spectral__FP2-F4,0.00034574512
freq__beta__P7-T7,0.0003455019
entropy__spectral__FP1-F7,0.00034240485
freq__beta__C3-P3,0.00034238488
freq__gamma__C3-P3,0.0003406314
time__ptp__FZ-CZ,0.00033845636
hjorth__complexity__FT9-FT10,0.00033774905
hjorth__mobility__F4-C4,0.0003229186
entropy__spectral__FP2-F8,0.0003141834
freq__alpha__T7-P7,0.00031234717
time__ptp__FP2-F8,0.00030845168
freq__beta__T7-FT9,0.00030631863
hjorth__complexity__F8-T8,0.00029910752
hjorth__mobility__FT9-FT10,0.00029880833
freq__beta__C4-P4,0.0002951723
entropy__perm__C4-P4,0.00029280674
hjorth__activity__P3-O1,0.00029206232
hjorth__mobility__P7-T7,0.00029107282
freq__theta__P3-O1,0.00028607238
entropy__perm__P4-O2,0.00028384928
entropy__perm__FP1-F7,0.0002792517
time__mean__T7-FT9,0.00027846207
hjorth__mobility__FZ-CZ,0.00027721
freq__delta__F3-C3,0.00027669905
freq__gamma__F7-T7,0.0002447023
time__rms__P7-O1,0.00024440483
freq__theta__T7-FT9,0.00023086579
time__std__P7-T7,0.00023014421
hjorth__mobility__FP2-F4,0.00022267476
time__mean__P7-O1,0.00022230635
hjorth__mobility__T7-P7,0.00021066514
entropy__spectral__T7-FT9,0.00020020935
time__line_length__FP2-F8,0.000194594
entropy__spectral__P8-O2,0.00019389194
time__mean__FT9-FT10,0.0001904639
freq__beta__FP1-F3,0.00018819884
time__ptp__F7-T7,0.00017811358
freq__delta__FP2-F8,0.00017648062
freq__beta__FP2-F4,0.00017243528
freq__delta__FP1-F7,0.00016899922
hjorth__activity__C4-P4,0.00016322611
time__std__FP2-F4,0.00015284556
time__mean__T7-P7,0.00015248629
entropy__perm__FP2-F4,0.00015170556
time__rms__FP2-F8,0.00015098337
freq__alpha__T7-FT9,0.00014875877
freq__alpha__FP2-F4,0.0001392396
freq__delta__FT10-T8,0.00013804839
time__ptp__F4-C4,0.00013253545
time__std__T7-P7,0.00012970614
hjorth__complexity__P4-O2,0.00012525314
time__mean__P3-O1,0.00012448175
time__std__P8-O2,0.00012335033
time__mean__F3-C3,0.00011131335
time__line_length__F7-T7,0.00011042889
entropy__spectral__FZ-CZ,9.534203e-05
hjorth__mobility__F7-T7,8.745431e-05
time__line_length__T7-FT9,8.269931e-05
freq__gamma__T7-P7,7.538428e-05
hjorth__complexity__FP2-F4,7.082508e-05
time__rms__F7-T7,4.9495473e-05
hjorth__mobility__FP1-F7,4.844253e-05
freq__gamma__F4-C4,4.5419096e-05
hjorth__activity__FP2-F4,4.1483006e-05
hjorth__activity__C3-P3,0.0
hjorth__activity__F7-T7,0.0
hjorth__activity__F8-T8,0.0
hjorth__activity__FP2-F8,0.0
hjorth__activity__FT10-T8,0.0
hjorth__activity__P7-O1,0.0
hjorth__activity__P7-T7,0.0
hjorth__activity__T7-P7,0.0
time__rms__T7-P7,0.0
