accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,windows,model,seed,test_patient,threshold
0.9902464976059585,0.43820224719101125,0.8863636363636364,0.5864661654135338,0.9790600373710293,0.6083384749494912,5545,50,5,39,5639,selected_supervised,44,chb02,0.5
0.9785422947331087,0.24503311258278146,0.8409090909090909,0.37948717948717947,0.9813774473962141,0.4144297845431529,5481,114,7,37,5639,selected_kd,44,chb02,0.5
0.9884731335343145,0.3561643835616438,0.5909090909090909,0.4444444444444444,0.9261556584612884,0.23214478820208148,5548,47,18,26,5639,random_supervised,44,chb02,0.5
0.9897979797979798,1.0,0.019417475728155338,0.0380952380952381,0.9839053167652869,0.4932581756753004,9797,0,101,2,9900,teacher,43,chb03,0.5
0.9911111111111112,0.9411764705882353,0.1553398058252427,0.26666666666666666,0.8371385732307592,0.2883363513117266,9796,1,87,16,9900,selected_supervised,43,chb03,0.5
0.9905050505050506,0.8461538461538461,0.10679611650485436,0.1896551724137931,0.8965306399521947,0.2873721212012277,9795,2,92,11,9900,selected_kd,43,chb03,0.5
0.9895959595959596,0.5,0.1262135922330097,0.20155038759689922,0.945880995866577,0.27604121007130733,9784,13,90,13,9900,random_supervised,43,chb03,0.5
0.9897979797979798,1.0,0.019417475728155338,0.0380952380952381,0.9839053167652869,0.4932581756753004,9797,0,101,2,9900,teacher,44,chb03,0.5
0.9886868686868687,0.3548387096774194,0.10679611650485436,0.16417910447761194,0.8368422669511472,0.14538930317977788,9777,20,92,11,9900,selected_supervised,44,chb03,0.5
0.9893939393939394,0.4375,0.06796116504854369,0.11764705882352941,0.947401175909804,0.25156010229302495,9788,9,96,7,9900,selected_kd,44,chb03,0.5
0.9886868686868687,0.3333333333333333,0.08737864077669903,0.13846153846153847,0.728114709178855,0.20273551125818176,9779,18,94,9,9900,random_supervised,44,chb03,0.5
0.8650950382621575,0.08744588744588745,0.7214285714285714,0.155984555984556,0.9216169663042307,0.3280369904996445,6908,1054,39,101,8102,teacher,43,chb05,0.5
0.7731424339669217,0.06859756097560976,0.9642857142857143,0.12808349146110057,0.9746366670255141,0.8534993573013724,6129,1833,5,135,8102,selected_supervised,43,chb05,0.5
0.8642310540607258,0.10264900662251655,0.8857142857142857,0.18397626112759644,0.9551611224746116,0.728235178658345,6878,1084,16,124,8102,selected_kd,43,chb05,0.5
0.8563317699333498,0.10062402496099844,0.9214285714285714,0.18143459915611815,0.9715891556321097,0.8628949450401538,6809,1153,11,129,8102,random_supervised,43,chb05,0.5
0.8650950382621575,0.08744588744588745,0.7214285714285714,0.155984555984556,0.9216169663042307,0.3280369904996445,6908,1054,39,101,8102,teacher,44,chb05,0.5
0.7865959022463589,0.07399463806970509,0.9857142857142858,0.1376558603491272,0.9930760397602899,0.9175591772052133,6235,1727,2,138,8102,selected_supervised,44,chb05,0.5
0.863367069859294,0.11039484286865431,0.9785714285714285,0.19840695148443158,0.9879911723543977,0.8567401819516802,6858,1104,3,137,8102,selected_kd,44,chb05,0.5
0.8448531226857566,0.09791216702663787,0.9714285714285714,0.17789404839764553,0.9828278070836474,0.9223072888254455,6709,1253,4,136,8102,random_supervised,44,chb05,0.5
0.9750793650793651,0.7126436781609196,0.5367965367965368,0.6123456790123457,0.9425160438506954,0.6683245919735751,6019,50,107,124,6300,teacher,43,chb08,0.5
0.9406349206349206,0.328537170263789,0.5930735930735931,0.4228395061728395,0.8870139856299025,0.31942755444272725,5789,280,94,137,6300,selected_supervised,43,chb08,0.5
0.9584126984126984,0.44404332129963897,0.5324675324675324,0.484251968503937,0.9161604035553617,0.34248950510004317,5915,154,108,123,6300,selected_kd,43,chb08,0.5
0.9250793650793651,0.25656565656565655,0.5497835497835498,0.349862258953168,0.8487191668111094,0.20946028751667967,5701,368,104,127,6300,random_supervised,43,chb08,0.5
0.9750793650793651,0.7126436781609196,0.5367965367965368,0.6123456790123457,0.9425160438506954,0.6683245919735751,6019,50,107,124,6300,teacher,44,chb08,0.5
0.9573015873015873,0.4311594202898551,0.5151515151515151,0.46942800788954636,0.8714879891350479,0.4425140267652168,5912,157,112,119,6300,selected_supervised,44,chb08,0.5
0.9577777777777777,0.4381625441696113,0.5367965367965368,0.48249027237354086,0.9261957902590626,0.45570317083855666,5910,159,107,124,6300,selected_kd,44,chb08,0.5
0.9477777777777778,0.35755813953488375,0.5324675324675324,0.42782608695652175,0.8897680284234907,0.45015494547523766,5848,221,108,123,6300,random_supervised,44,chb08,0.5
