model,rank,feature
selected_supervised,49,time__std__T8-P8
selected_supervised,50,hjorth__complexity__FP2-F4
selected_kd,1,freq__alpha__FT9-FT10
selected_kd,2,freq__theta__FT9-FT10
selected_kd,3,freq__delta__C4-P4
selected_kd,4,hjorth__activity__T8-P8
selected_kd,5,hjorth__mobility__T7-FT9
selected_kd,6,freq__delta__T8-P8
selected_kd,7,time__std__P3-O1
selected_kd,8,time__std__FP2-F4
selected_kd,9,time__rms__F7-T7
selected_kd,10,time__rms__C3-P3
selected_kd,11,hjorth__mobility__FT10-T8
selected_kd,12,freq__alpha__C4-P4
selected_kd,13,freq__theta__FP1-F3
selected_kd,14,time__line_length__FT9-FT10
selected_kd,15,freq__theta__F8-T8
selected_kd,16,freq__theta__FZ-CZ
selected_kd,17,time__rms__P3-O1
selected_kd,18,freq__delta__P3-O1
selected_kd,19,entropy__spectral__C4-P4
selected_kd,20,freq__beta__FT9-FT10
selected_kd,21,time__mean__C3-P3
selected_kd,22,freq__alpha__T8-P8
selected_kd,23,time__rms__P4-O2
selected_kd,24,time__line_length__FT10-T8
selected_kd,25,freq__gamma__C3-P3
selected_kd,26,freq__delta__CZ-PZ
selected_kd,27,time__rms__F8-T8
selected_kd,28,time__rms__CZ-PZ
selected_kd,29,hjorth__activity__P8-O2
selected_kd,30,time__std__FT9-FT10
selected_kd,31,freq__alpha__P3-O1
selected_kd,32,time__line_length__C3-P3
selected_kd,33,time__std__FP1-F3
selected_kd,34,freq__delta__F7-T7
selected_kd,35,time__ptp__F3-C3
selected_kd,36,freq__delta__FP2-F4
selected_kd,37,freq__delta__F8-T8
selected_kd,38,freq__theta__C3-P3
selected_kd,39,freq__theta__FP2-F4
selected_kd,40,hjorth__mobility__FT9-FT10
selected_kd,41,time__line_length__T7-FT9
selected_kd,42,time__rms__T7-FT9
selected_kd,43,time__line_length__FZ-CZ
selected_kd,44,hjorth__complexity__FT9-FT10
selected_kd,45,time__ptp__F4-C4
selected_kd,46,freq__gamma__FT9-FT10
selected_kd,47,freq__theta__C4-P4
selected_kd,48,time__ptp__FZ-CZ
selected_kd,49,time__std__T8-P8
selected_kd,50,hjorth__complexity__FP2-F4
random_supervised,1,time__line_length__C4-P4
random_supervised,2,time__mean__CZ-PZ
random_supervised,3,time__rms__FP1-F3
random_supervised,4,time__line_length__FP1-F3
random_supervised,5,time__line_length__FP2-F4
random_supervised,6,time__rms__FP2-F8
random_supervised,7,time__mean__FT10-T8
random_supervised,8,time__std__FZ-CZ
random_supervised,9,time__rms__FZ-CZ
random_supervised,10,time__mean__P3-O1
random_supervised,11,time__mean__P8-O2
random_supervised,12,time__rms__T7-P7
random_supervised,13,time__line_length__T7-P7
random_supervised,14,freq__delta__C3-P3
random_supervised,15,freq__gamma__C3-P3
random_supervised,16,freq__beta__CZ-PZ
random_supervised,17,freq__alpha__F4-C4
random_supervised,18,freq__gamma__F8-T8
random_supervised,19,freq__theta__FP1-F7
random_supervised,20,freq__alpha__FP1-F7
random_supervised,21,freq__alpha__FP2-F8
random_supervised,22,freq__theta__FT10-T8
random_supervised,23,freq__gamma__FT10-T8
random_supervised,24,freq__theta__FT9-FT10
random_supervised,25,freq__gamma__FT9-FT10
random_supervised,26,freq__beta__FZ-CZ
random_supervised,27,freq__theta__P3-O1
random_supervised,28,freq__gamma__P7-O1
random_supervised,29,freq__alpha__P8-O2
random_supervised,30,freq__gamma__T7-FT9
random_supervised,31,freq__theta__T7-P7
random_supervised,32,freq__beta__T7-P7
random_supervised,33,freq__theta__T8-P8
random_supervised,34,entropy__perm__C4-P4
random_supervised,35,entropy__spectral__CZ-PZ
random_supervised,36,entropy__perm__F4-C4
random_supervised,37,entropy__perm__P3-O1
random_supervised,38,entropy__spectral__P7-O1
random_supervised,39,hjorth__activity__CZ-PZ
random_supervised,40,hjorth__mobility__F3-C3
random_supervised,41,hjorth__activity__F7-T7
random_supervised,42,hjorth__complexity__F8-T8
random_supervised,43,hjorth__mobility__P7-O1
random_supervised,44,hjorth__complexity__P7-O1
random_supervised,45,hjorth__mobility__P8-O2
random_supervised,46,hjorth__complexity__P8-O2
random_supervised,47,hjorth__activity__T7-FT9
random_supervised,48,hjorth__complexity__T7-P7
random_supervised,49,hjorth__activity__T8-P8
random_supervised,50,hjorth__complexity__T8-P8
