feature,importance
hjorth__mobility__CZ-PZ,0.0025446662
time__std__C4-P4,0.0025103707
time__mean__FP1-F3,0.0024863544
time__rms__FT10-T8,0.0024670456
freq__theta__T7-P7,0.0024631608
time__std__F8-T8,0.0024540697
freq__delta__FP2-F8,0.0024339624
freq__theta__F4-C4,0.0023929095
freq__alpha__P4-O2,0.0023477233
entropy__spectral__P3-O1,0.0023276801
freq__theta__F7-T7,0.00231929
freq__theta__FP1-F7,0.0023072662
freq__gamma__FZ-CZ,0.0022865452
freq__alpha__FZ-CZ,0.0022415172
time__line_length__CZ-PZ,0.002217159
hjorth__complexity__FP1-F7,0.0022042138
time__mean__C4-P4,0.0021817314
freq__alpha__F3-C3,0.0021477141
freq__beta__C4-P4,0.0020098393
freq__delta__F3-C3,0.001982458
time__rms__FP1-F7,0.0019797662
time__ptp__T8-P8,0.001918436
time__line_length__F7-T7,0.0019144649
hjorth__mobility__F7-T7,0.001894625
time__line_length__T8-P8,0.0018769607
time__std__C3-P3,0.0018757619
time__ptp__FT9-FT10,0.0018185148
hjorth__complexity__C4-P4,0.0018170117
entropy__perm__F3-C3,0.0018162219
time__ptp__C4-P4,0.0018035835
freq__delta__FT10-T8,0.0017867427
hjorth__mobility__F3-C3,0.0017727742
freq__theta__P4-O2,0.0017109106
entropy__spectral__FP2-F4,0.001706843
freq__alpha__FP1-F3,0.0016887066
freq__alpha__FP2-F4,0.0016800524
time__rms__FP2-F4,0.0016762075
freq__theta__T7-FT9,0.0016708572
entropy__perm__F8-T8,0.0016628118
entropy__perm__FZ-CZ,0.0015613856
time__std__FZ-CZ,0.0015584297
entropy__spectral__F7-T7,0.0015358116
freq__delta__FT9-FT10,0.0015244848
hjorth__mobility__P3-O1,0.0015212011
time__line_length__F3-C3,0.0015211797
freq__theta__P7-O1,0.0014885259
time__ptp__F7-T7,0.0014878842
time__ptp__FT10-T8,0.001480641
freq__beta__FZ-CZ,0.001462193
time__mean__T8-P8,0.0014392341
time__std__F3-C3,0.0014167784
freq__gamma__T7-FT9,0.0013943473
hjorth__mobility__FP1-F3,0.0013878379
hjorth__complexity__FZ-CZ,0.0013846637
time__mean__F7-T7,0.0013778375
freq__gamma__FT10-T8,0.0013767637
freq__beta__P7-O1,0.0013731231
freq__delta__P7-O1,0.0013622646
freq__theta__P8-O2,0.0013600873
hjorth__mobility__C4-P4,0.0013070429
time__line_length__P3-O1,0.0012974258
freq__beta__FP1-F3,0.0012866247
freq__beta__T7-FT9,0.0012725503
freq__delta__P8-O2,0.0012475458
entropy__spectral__F4-C4,0.0012074196
time__std__P7-T7,0.0011920952
time__line_length__FP1-F3,0.0011914634
time__rms__C4-P4,0.0011737044
time__ptp__FP1-F3,0.001163897
freq__beta__P7-T7,0.0011600327
hjorth__activity__FP1-F3,0.0011528931
time__mean__T7-P7,0.0011350526
freq__theta__F3-C3,0.0011134353
time__ptp__CZ-PZ,0.0010912422
freq__delta__P7-T7,0.0010782855
freq__gamma__T8-P8,0.0010775909
freq__gamma__FP1-F3,0.0010448901
entropy__perm__FT10-T8,0.0010314179
entropy__spectral__T7-FT9,0.001028491
hjorth__mobility__P7-T7,0.0010184699
entropy__perm__P8-O2,0.0009902614
entropy__spectral__FZ-CZ,0.0009845421
time__line_length__P8-O2,0.00096710346
freq__theta__P3-O1,0.00092726276
hjorth__complexity__F8-T8,0.0009001609
hjorth__mobility__F8-T8,0.00088430115
time__mean__F4-C4,0.000868718
entropy__perm__FP1-F3,0.0008579995
hjorth__complexity__F4-C4,0.00085122645
entropy__spectral__P7-T7,0.00084850047
time__ptp__T7-P7,0.0008371916
time__mean__P7-T7,0.0008370335
time__std__F4-C4,0.00083530654
time__ptp__T7-FT9,0.0008212241
freq__alpha__P7-T7,0.0008084219
freq__delta__FZ-CZ,0.00080584665
time__line_length__P7-O1,0.0007841703
time__mean__P4-O2,0.0007808791
time__mean__FZ-CZ,0.0007754148
entropy__perm__P7-O1,0.00077345775
time__rms__P7-T7,0.0007587452
freq__gamma__F8-T8,0.000757734
entropy__perm__FT9-FT10,0.00075372425
freq__gamma__FP2-F8,0.00073823245
freq__gamma__F3-C3,0.0007371878
freq__gamma__P3-O1,0.00070120726
entropy__spectral__FT10-T8,0.000681975
time__ptp__FP1-F7,0.0006728116
entropy__perm__C3-P3,0.0006716524
time__ptp__C3-P3,0.0006594417
hjorth__activity__P4-O2,0.0006594115
time__rms__FT9-FT10,0.0006524735
freq__delta__T7-FT9,0.0006476546
entropy__perm__C4-P4,0.000638769
entropy__perm__F7-T7,0.0006263444
freq__delta__C3-P3,0.0006236516
time__std__T7-FT9,0.0006121137
hjorth__complexity__P4-O2,0.0006119317
time__ptp__P7-T7,0.00060631946
freq__beta__CZ-PZ,0.00059300836
time__line_length__P4-O2,0.00058882334
freq__alpha__T7-FT9,0.00057917886
hjorth__activity__F3-C3,0.00057538337
freq__delta__FP1-F3,0.0005665952
entropy__spectral__F3-C3,0.0005636151
freq__beta__P8-O2,0.00055987784
entropy__spectral__FT9-FT10,0.00055501936
hjorth__complexity__F3-C3,0.00055095373
time__std__P7-O1,0.0005455408
hjorth__mobility__FP1-F7,0.00052691315
time__ptp__P4-O2,0.0005222098
time__std__FT10-T8,0.0005184662
freq__theta__FP2-F8,0.00049891433
entropy__spectral__FP1-F3,0.0004958331
freq__alpha__F8-T8,0.0004877548
hjorth__complexity__P8-O2,0.00048346218
entropy__perm__FP1-F7,0.00048009653
time__ptp__F8-T8,0.0004755884
freq__gamma__FP2-F4,0.00047209638
time__mean__P7-O1,0.0004701088
freq__beta__C3-P3,0.0004653023
hjorth__complexity__FP1-F3,0.0004488039
entropy__spectral__T7-P7,0.00044795687
hjorth__complexity__P3-O1,0.00044408007
hjorth__complexity__T7-FT9,0.00043263286
entropy__spectral__FP2-F8,0.00042542734
time__rms__FP1-F3,0.00042491063
freq__alpha__P8-O2,0.0004164527
freq__gamma__P7-O1,0.00040981936
time__rms__P7-O1,0.0004093217
freq__alpha__C3-P3,0.0004067661
entropy__spectral__FP1-F7,0.0004042295
time__std__P8-O2,0.0003947704
time__rms__T8-P8,0.00039365704
freq__alpha__F4-C4,0.00039239237
hjorth__mobility__P8-O2,0.0003844704
time__mean__FP2-F4,0.00037792034
time__mean__FP1-F7,0.00037247254
hjorth__mobility__FZ-CZ,0.0003696938
time__mean__FT10-T8,0.0003670442
time__ptp__FP2-F4,0.00036238745
entropy__spectral__T8-P8,0.00035778806
freq__gamma__FP1-F7,0.00035743866
freq__theta__T8-P8,0.00035087793
time__ptp__FP2-F8,0.00034639033
time__mean__F3-C3,0.00034446095
freq__beta__F7-T7,0.00034013146
freq__gamma__C4-P4,0.00033196897
entropy__perm__T7-FT9,0.0003268141
entropy__spectral__P8-O2,0.00032078335
time__line_length__FP2-F4,0.00031724715
time__rms__F3-C3,0.00031506293
freq__alpha__T7-P7,0.00031436048
hjorth__activity__F7-T7,0.00031006127
freq__delta__F4-C4,0.00030841387
entropy__spectral__C3-P3,0.0003057125
time__line_length__F4-C4,0.00029412404
freq__beta__F4-C4,0.00028772344
hjorth__mobility__FP2-F8,0.0002840443
freq__beta__F8-T8,0.00027686876
freq__beta__P3-O1,0.00027376466
hjorth__mobility__P4-O2,0.00027174645
entropy__spectral__P7-O1,0.00026898005
freq__alpha__CZ-PZ,0.0002680463
time__ptp__P7-O1,0.00026747174
hjorth__complexity__P7-O1,0.0002663257
freq__delta__FP1-F7,0.0002622962
hjorth__activity__FP2-F8,0.00026078415
time__line_length__FP2-F8,0.00025194103
time__line_length__FP1-F7,0.00025042976
time__mean__FP2-F8,0.00024851182
hjorth__activity__P3-O1,0.00024017695
entropy__perm__P3-O1,0.00022232464
entropy__perm__F4-C4,0.00022099107
freq__alpha__FT10-T8,0.00021775183
freq__gamma__F7-T7,0.00021070156
entropy__perm__FP2-F8,0.0002099301
entropy__spectral__F8-T8,0.00020358668
freq__gamma__F4-C4,0.00019638811
hjorth__activity__FZ-CZ,0.00019265142
time__line_length__F8-T8,0.00018207375
freq__beta__FP2-F8,0.00016876713
hjorth__complexity__C3-P3,0.00016641781
hjorth__complexity__FT10-T8,0.00016330395
entropy__perm__T8-P8,0.00016059673
entropy__perm__P7-T7,0.00016012501
freq__theta__FT10-T8,0.00015325191
time__mean__FT9-FT10,0.0001451073
hjorth__mobility__P7-O1,0.00014484329
hjorth__complexity__P7-T7,0.00014383491
time__mean__CZ-PZ,0.00014157966
hjorth__complexity__FP2-F8,0.00014089984
freq__delta__P4-O2,0.0001280486
hjorth__complexity__F7-T7,0.00012710124
freq__beta__T8-P8,0.00012703
entropy__perm__FP2-F4,0.000116050105
freq__beta__P4-O2,0.00011208312
freq__beta__FP1-F7,0.00010799531
hjorth__mobility__C3-P3,0.00010649382
entropy__perm__T7-P7,0.00010571035
time__mean__F8-T8,9.968071e-05
freq__gamma__P7-T7,9.817127e-05
hjorth__mobility__FP2-F4,9.400505e-05
time__mean__P3-O1,9.208787e-05
entropy__spectral__P4-O2,8.5865e-05
hjorth__complexity__T8-P8,7.481226e-05
hjorth__mobility__T7-P7,7.334429e-05
time__mean__T7-FT9,7.1437826e-05
hjorth__mobility__T8-P8,6.559351e-05
time__mean__P8-O2,6.343837e-05
freq__gamma__P4-O2,6.0208666e-05
freq__gamma__P8-O2,5.9322614e-05
freq__theta__CZ-PZ,5.755023e-05
hjorth__mobility__F4-C4,4.374443e-05
time__rms__F4-C4,4.3714517e-05
time__line_length__P7-T7,4.3148593e-05
time__std__T7-P7,3.85217e-05
hjorth__activity__FP1-F7,3.7831087e-05
time__rms__FP2-F8,3.350501e-05
time__ptp__P8-O2,3.1373966e-05
hjorth__activity__FT9-FT10,2.62765e-05
freq__delta__T7-P7,2.0772555e-05
freq__gamma__T7-P7,0.0
hjorth__activity__C3-P3,0.0
hjorth__activity__C4-P4,0.0
hjorth__activity__F4-C4,0.0
hjorth__activity__F8-T8,0.0
hjorth__activity__FP2-F4,0.0
hjorth__activity__FT10-T8,0.0
hjorth__activity__P7-O1,0.0
hjorth__activity__P7-T7,0.0
hjorth__activity__T7-FT9,0.0
hjorth__activity__T7-P7,0.0
hjorth__complexity__T7-P7,0.0
time__line_length__T7-P7,0.0
time__rms__T7-P7,0.0
