feature,importance
freq__gamma__FP2-F4,0.0012718007
freq__beta__FT10-T8,0.001251456
hjorth__complexity__T8-P8,0.0012434658
freq__delta__FT9-FT10,0.0012121664
hjorth__complexity__T7-P7,0.001212071
freq__delta__F7-T7,0.001211954
entropy__spectral__P7-T7,0.001211664
hjorth__complexity__F8-T8,0.0012039366
freq__delta__C4-P4,0.0011856552
entropy__perm__P8-O2,0.0011829648
freq__beta__FZ-CZ,0.0011807961
freq__beta__T8-P8,0.0011702321
entropy__perm__FP1-F7,0.0011570934
time__std__P8-O2,0.0011563336
time__mean__P7-O1,0.001135644
freq__alpha__F3-C3,0.0011312477
entropy__perm__P7-O1,0.0011235122
hjorth__mobility__T7-FT9,0.0011209259
entropy__spectral__P3-O1,0.0011153927
time__std__P3-O1,0.0011119379
freq__gamma__F7-T7,0.0010759612
entropy__spectral__FT10-T8,0.0010487464
entropy__perm__F4-C4,0.0010381378
freq__delta__P7-O1,0.0010176972
freq__beta__C4-P4,0.0010129295
entropy__spectral__FP1-F7,0.0010081473
freq__theta__P3-O1,0.0010047501
freq__alpha__F8-T8,0.000996692
freq__theta__P8-O2,0.0009963872
time__mean__P4-O2,0.0009944616
hjorth__activity__FP1-F7,0.0009769162
freq__alpha__P8-O2,0.00097259873
hjorth__complexity__F4-C4,0.00097092753
freq__theta__F7-T7,0.0009701593
freq__alpha__C4-P4,0.0009641441
time__ptp__FT9-FT10,0.0009577546
freq__delta__T7-FT9,0.00095682027
time__rms__F4-C4,0.0009555487
hjorth__complexity__P7-T7,0.0009525936
freq__gamma__P4-O2,0.0009503464
time__ptp__F8-T8,0.00094379915
time__line_length__CZ-PZ,0.00092854595
freq__gamma__T7-FT9,0.0009281386
time__std__FP1-F7,0.000915487
time__std__T7-P7,0.00090467813
time__mean__F3-C3,0.00089933566
freq__theta__P7-O1,0.0008978125
time__line_length__F3-C3,0.0008971054
hjorth__mobility__T8-P8,0.0008954684
freq__theta__P4-O2,0.0008919089
freq__alpha__P3-O1,0.00089139456
time__line_length__P3-O1,0.0008880062
time__mean__CZ-PZ,0.0008872008
entropy__perm__FT10-T8,0.00088311057
freq__theta__FP1-F3,0.00087794266
entropy__spectral__F7-T7,0.0008742145
time__rms__FP1-F3,0.0008618931
time__ptp__FP1-F7,0.0008604538
entropy__spectral__T8-P8,0.00085657684
time__line_length__F4-C4,0.00085121056
freq__beta__FP2-F4,0.000841969
freq__alpha__P7-T7,0.0008387062
freq__delta__P3-O1,0.00083741127
time__std__P7-O1,0.0008299939
time__std__FP1-F3,0.00081194215
entropy__perm__P4-O2,0.0007939344
entropy__spectral__C3-P3,0.0007870952
freq__alpha__FT10-T8,0.0007835967
freq__gamma__P7-T7,0.00078217813
freq__alpha__FZ-CZ,0.00077720697
freq__beta__FP1-F7,0.00076596404
time__mean__T7-FT9,0.0007640783
time__ptp__CZ-PZ,0.00076371926
freq__alpha__C3-P3,0.00075859093
time__mean__P3-O1,0.00074433646
freq__theta__T7-P7,0.00074236735
entropy__spectral__F3-C3,0.0007419133
freq__theta__P7-T7,0.0007149878
freq__beta__FP1-F3,0.00070649904
freq__beta__C3-P3,0.00070178043
time__std__F8-T8,0.0006881885
entropy__perm__P7-T7,0.00067074393
freq__gamma__P3-O1,0.00066321745
hjorth__complexity__CZ-PZ,0.000649565
time__std__C3-P3,0.00064336776
freq__gamma__FP2-F8,0.00064143195
entropy__perm__FZ-CZ,0.00063348113
hjorth__complexity__FP1-F3,0.00063005614
freq__delta__FP1-F3,0.0006226322
freq__alpha__P4-O2,0.0006144247
time__ptp__F3-C3,0.0006092374
time__ptp__C3-P3,0.0006091261
time__line_length__FP2-F8,0.0006014159
hjorth__complexity__F3-C3,0.00059157773
time__rms__FP1-F7,0.0005909613
hjorth__activity__P3-O1,0.0005826856
time__ptp__P3-O1,0.0005810351
time__mean__FP1-F3,0.00057572825
time__line_length__FP2-F4,0.00057568593
freq__alpha__FP1-F3,0.00057057897
freq__beta__F8-T8,0.00057032413
freq__theta__FP1-F7,0.0005517741
entropy__perm__FP2-F4,0.0005452757
freq__delta__FP2-F8,0.0005438493
hjorth__complexity__P7-O1,0.00053988595
hjorth__complexity__FP1-F7,0.0005300244
entropy__perm__P3-O1,0.00052969536
freq__beta__P8-O2,0.00052693853
freq__alpha__CZ-PZ,0.00052584417
time__std__T8-P8,0.0005200068
entropy__spectral__FZ-CZ,0.0005168319
time__rms__FT10-T8,0.0005158983
freq__theta__C4-P4,0.0005100086
entropy__perm__F8-T8,0.0005093691
time__std__FT9-FT10,0.00050423434
time__mean__FT9-FT10,0.0005024861
freq__alpha__FP1-F7,0.0004998896
entropy__spectral__P7-O1,0.0004959524
time__mean__T8-P8,0.00048357956
hjorth__mobility__P7-O1,0.00048080637
hjorth__mobility__P7-T7,0.00048000555
time__mean__T7-P7,0.00046844638
freq__delta__FZ-CZ,0.00045484188
time__ptp__C4-P4,0.00045037322
entropy__perm__FT9-FT10,0.00044434107
freq__gamma__FT10-T8,0.00044178034
freq__alpha__FP2-F4,0.0004321584
entropy__perm__T8-P8,0.00042839785
entropy__perm__C4-P4,0.0004278291
time__mean__P8-O2,0.00042591777
entropy__perm__FP2-F8,0.00042311754
time__line_length__F7-T7,0.00040151298
time__std__F4-C4,0.0003825373
freq__beta__F7-T7,0.00038108113
time__rms__T7-P7,0.00037779342
hjorth__mobility__FP2-F4,0.00036061608
freq__gamma__C3-P3,0.0003484884
freq__theta__FP2-F8,0.00034381734
hjorth__mobility__P8-O2,0.00034225022
hjorth__mobility__FP2-F8,0.00034052008
time__rms__FP2-F8,0.00033863203
entropy__spectral__FP2-F4,0.00032916214
time__ptp__FP2-F8,0.00032837075
hjorth__complexity__P8-O2,0.0003230339
time__mean__FP2-F8,0.00032076574
time__ptp__P8-O2,0.0003202617
time__mean__FP1-F7,0.00031228643
time__rms__P8-O2,0.00031204725
time__rms__F7-T7,0.00030727475
entropy__spectral__F4-C4,0.00030447444
time__std__C4-P4,0.0002900008
hjorth__mobility__C3-P3,0.00028825994
time__mean__F8-T8,0.00028555703
time__line_length__C4-P4,0.00028490653
freq__gamma__CZ-PZ,0.00028173032
freq__alpha__T8-P8,0.00028119847
freq__beta__T7-FT9,0.00027936924
freq__delta__FP1-F7,0.0002752705
entropy__spectral__P8-O2,0.00027154584
hjorth__mobility__P3-O1,0.00026307866
hjorth__activity__P8-O2,0.0002595666
freq__alpha__F7-T7,0.00025769408
entropy__spectral__FP2-F8,0.00025103256
hjorth__mobility__FZ-CZ,0.00024127822
entropy__spectral__FP1-F3,0.00023307875
time__line_length__F8-T8,0.00022716999
time__std__FP2-F8,0.00022622215
hjorth__mobility__T7-P7,0.00020908179
time__ptp__F7-T7,0.0002075038
freq__delta__FP2-F4,0.00020660907
entropy__spectral__F8-T8,0.0001971278
time__rms__C3-P3,0.00019395346
time__mean__FZ-CZ,0.00018170512
time__ptp__FP1-F3,0.00017947215
hjorth__activity__FP2-F4,0.000173442
hjorth__mobility__FP1-F7,0.00016617957
freq__alpha__T7-FT9,0.0001600948
time__mean__FP2-F4,0.00015686228
freq__gamma__FP1-F7,0.00015564574
entropy__perm__C3-P3,0.00015436833
hjorth__mobility__FP1-F3,0.00015348742
time__mean__F7-T7,0.00014517133
hjorth__mobility__F7-T7,0.00013731766
time__rms__C4-P4,0.00013630617
hjorth__activity__FT10-T8,0.00013067677
freq__theta__T7-FT9,0.00012320509
time__rms__F8-T8,0.00012249693
hjorth__activity__P7-O1,0.000116854935
freq__beta__FP2-F8,0.00011617089
freq__gamma__F4-C4,0.00011264622
time__ptp__P7-O1,0.000107492415
hjorth__activity__T8-P8,9.238091e-05
time__mean__FT10-T8,7.773689e-05
time__line_length__T7-FT9,7.361168e-05
entropy__spectral__T7-P7,6.039464e-05
freq__beta__P4-O2,5.9009955e-05
hjorth__activity__FP2-F8,4.8138514e-05
freq__alpha__FP2-F8,3.9328483e-05
hjorth__activity__FZ-CZ,3.1309566e-05
hjorth__activity__F7-T7,1.5721567e-05
freq__beta__T7-P7,0.0
freq__gamma__T7-P7,0.0
hjorth__activity__C3-P3,0.0
hjorth__activity__C4-P4,0.0
hjorth__activity__F3-C3,0.0
hjorth__activity__P7-T7,0.0
hjorth__activity__T7-FT9,0.0
hjorth__activity__T7-P7,0.0
time__ptp__T7-P7,0.0
