feature,importance
entropy__perm__P7-T7,0.0006521265
time__mean__FP2-F4,0.0006463744
time__std__T7-P7,0.0006381053
entropy__spectral__T7-FT9,0.0006307826
hjorth__mobility__FP1-F7,0.0006235924
entropy__spectral__F4-C4,0.0006130075
freq__beta__P4-O2,0.00060806057
time__ptp__C4-P4,0.0006010892
freq__theta__P7-O1,0.0005856932
time__line_length__P7-T7,0.0005778174
freq__delta__FP2-F8,0.0005715322
freq__beta__FP2-F4,0.0005646551
freq__theta__FP1-F3,0.00056223583
entropy__spectral__FP2-F8,0.0005589854
time__rms__P7-O1,0.0005536522
hjorth__complexity__FP2-F4,0.00054104964
time__std__T8-P8,0.0005396494
hjorth__mobility__FZ-CZ,0.00052875775
time__mean__T7-FT9,0.0005074369
freq__delta__F3-C3,0.0005047152
time__std__C4-P4,0.00050305267
hjorth__complexity__P7-O1,0.00049436773
time__rms__FP1-F7,0.0004931486
entropy__spectral__FP1-F3,0.00049307983
time__std__F4-C4,0.0004899352
freq__theta__CZ-PZ,0.00047959038
time__line_length__F7-T7,0.00047477195
hjorth__mobility__P4-O2,0.00047098467
freq__gamma__CZ-PZ,0.00046879964
entropy__spectral__FP1-F7,0.0004635967
entropy__perm__T7-P7,0.00046313586
hjorth__complexity__F4-C4,0.0004617523
time__std__FP1-F3,0.00045934148
time__std__F8-T8,0.00043290498
hjorth__complexity__F3-C3,0.0004266304
entropy__spectral__FT9-FT10,0.0004177919
entropy__spectral__P4-O2,0.00041740682
time__line_length__T8-P8,0.00041303507
time__ptp__C3-P3,0.00040517672
freq__alpha__FZ-CZ,0.00039799506
hjorth__complexity__FP2-F8,0.00039044404
freq__alpha__T8-P8,0.0003894434
freq__beta__P8-O2,0.0003861906
time__rms__FP2-F4,0.00038132002
entropy__spectral__FZ-CZ,0.0003809531
entropy__perm__FP1-F7,0.00037764348
time__rms__C3-P3,0.00037492954
entropy__spectral__F3-C3,0.00037303168
entropy__spectral__T7-P7,0.00036568544
freq__gamma__FT10-T8,0.0003598065
freq__beta__P7-O1,0.00035951487
time__ptp__P3-O1,0.00035503812
hjorth__mobility__FP1-F3,0.00035145634
freq__delta__FP1-F7,0.00034438862
hjorth__mobility__FP2-F8,0.00033880398
freq__alpha__C3-P3,0.000337106
time__mean__CZ-PZ,0.00033118424
time__std__C3-P3,0.0003296121
freq__theta__T7-FT9,0.0003206655
freq__alpha__C4-P4,0.00031607493
freq__gamma__P3-O1,0.0003033977
hjorth__complexity__T8-P8,0.00029967955
time__ptp__P8-O2,0.00028435927
freq__gamma__F8-T8,0.00028331316
freq__gamma__C3-P3,0.00028217828
freq__alpha__FP2-F4,0.0002751419
freq__beta__FP2-F8,0.0002703739
time__ptp__F7-T7,0.00026704776
freq__alpha__T7-P7,0.0002663512
entropy__perm__F8-T8,0.00025266918
hjorth__activity__P7-O1,0.0002434766
hjorth__complexity__FP1-F7,0.00024296435
time__mean__T8-P8,0.0002362528
freq__alpha__FT10-T8,0.00023607262
hjorth__mobility__T7-P7,0.00023572375
hjorth__mobility__T8-P8,0.00021568486
hjorth__activity__FP1-F3,0.00021016425
time__ptp__P7-O1,0.00019953013
hjorth__mobility__FP2-F4,0.0001993878
time__ptp__FP2-F8,0.00018947238
time__mean__FT9-FT10,0.00018746954
freq__beta__T7-FT9,0.00018244865
hjorth__complexity__FP1-F3,0.00017779549
freq__beta__T7-P7,0.00017348933
time__mean__P7-O1,0.00016961737
freq__gamma__F4-C4,0.00016707895
time__mean__FZ-CZ,0.00015470585
freq__delta__T7-P7,0.00014086273
time__std__F3-C3,0.0001397322
freq__gamma__P4-O2,0.00013913156
entropy__spectral__P8-O2,0.00013887932
time__std__FP2-F8,0.00013740669
freq__gamma__T7-P7,0.00012824697
hjorth__activity__FT10-T8,0.00011906831
time__line_length__P3-O1,0.00011726099
hjorth__activity__FP2-F4,0.00011634507
time__std__F7-T7,0.00011014876
time__rms__T8-P8,9.989234e-05
time__mean__P3-O1,8.4689804e-05
time__rms__FP2-F8,8.394768e-05
time__rms__FT10-T8,6.6499175e-05
hjorth__complexity__P8-O2,6.6285655e-05
time__rms__F8-T8,5.785878e-05
time__rms__FP1-F3,5.4914883e-05
hjorth__activity__P8-O2,4.8213966e-05
freq__gamma__FP1-F7,3.9602415e-05
hjorth__activity__C3-P3,2.4745083e-05
hjorth__activity__P3-O1,1.4836312e-05
hjorth__activity__C4-P4,1.1349805e-05
hjorth__activity__F4-C4,0.0
hjorth__activity__F7-T7,0.0
hjorth__activity__F8-T8,0.0
hjorth__activity__FP1-F7,0.0
hjorth__activity__FT9-FT10,0.0
hjorth__activity__P7-T7,0.0
hjorth__activity__T7-P7,0.0
hjorth__activity__T8-P8,0.0
time__line_length__T7-P7,0.0
time__ptp__T7-P7,0.0
