condition,trial,feature,mean_absolute_change,mean_clean_absolute_value
clean,0,freq__theta__F7-T7,0.0,3.704162705505175e-10
clean,0,freq__alpha__F7-T7,0.0,1.0660122899725638e-10
clean,0,freq__beta__F7-T7,0.0,7.335939244742969e-10
clean,0,freq__gamma__F7-T7,0.0,8.048766073137677e-10
clean,0,freq__delta__F8-T8,0.0,5.607732612381026e-09
clean,0,freq__theta__F8-T8,0.0,6.35393021192758e-10
clean,0,freq__alpha__F8-T8,0.0,1.5909072697986847e-10
clean,0,freq__beta__F8-T8,0.0,1.083031165801252e-09
clean,0,freq__gamma__F8-T8,0.0,1.4715344109782893e-09
clean,0,freq__delta__FP1-F3,0.0,1.7424539461931788e-08
clean,0,freq__theta__FP1-F3,0.0,2.37003880927151e-09
clean,0,freq__alpha__FP1-F3,0.0,2.767705740153051e-10
clean,0,freq__beta__FP1-F3,0.0,5.534016882883631e-10
clean,0,freq__gamma__FP1-F3,0.0,1.7658199115091416e-10
clean,0,freq__delta__FP1-F7,0.0,1.64309525729985e-08
clean,0,freq__theta__FP1-F7,0.0,2.2917352271039367e-09
clean,0,freq__alpha__FP1-F7,0.0,2.2095740997552328e-10
clean,0,freq__beta__FP1-F7,0.0,3.6494442215664186e-10
clean,0,freq__gamma__FP1-F7,0.0,2.0641797359505247e-10
clean,0,freq__delta__FP2-F4,0.0,8.551486544217285e-09
clean,0,freq__theta__FP2-F4,0.0,7.948255072694934e-10
clean,0,freq__alpha__FP2-F4,0.0,2.1585167443393363e-10
clean,0,freq__beta__FP2-F4,0.0,3.0818417854999723e-10
clean,0,freq__gamma__FP2-F4,0.0,1.9086296732359956e-10
clean,0,freq__delta__FP2-F8,0.0,9.021910968789656e-09
clean,0,freq__theta__FP2-F8,0.0,8.104513360180026e-10
clean,0,freq__alpha__FP2-F8,0.0,1.296996231643761e-10
clean,0,freq__beta__FP2-F8,0.0,3.5669039380813855e-10
clean,0,freq__gamma__FP2-F8,0.0,3.7351248493852227e-10
clean,0,freq__delta__FT10-T8,0.0,2.595840232751463e-09
clean,0,freq__theta__FT10-T8,0.0,3.8246769808772967e-10
clean,0,freq__alpha__FT10-T8,0.0,1.6644444432419835e-10
clean,0,freq__beta__FT10-T8,0.0,9.463533601447566e-10
clean,0,freq__gamma__FT10-T8,0.0,1.4455573337753229e-09
clean,0,freq__delta__FT9-FT10,0.0,9.389056283237744e-09
clean,0,freq__theta__FT9-FT10,0.0,5.994404469129523e-10
clean,0,freq__alpha__FT9-FT10,0.0,8.352636987132736e-11
clean,0,freq__beta__FT9-FT10,0.0,2.41042669235568e-10
clean,0,freq__gamma__FT9-FT10,0.0,1.915400796133703e-10
clean,0,freq__delta__FZ-CZ,0.0,9.352337406023058e-09
clean,0,freq__theta__FZ-CZ,0.0,4.777361251123121e-10
clean,0,freq__alpha__FZ-CZ,0.0,4.58425601994064e-11
clean,0,freq__beta__FZ-CZ,0.0,9.692127616953073e-11
clean,0,freq__gamma__FZ-CZ,0.0,5.3061221720897064e-11
clean,0,freq__delta__P3-O1,0.0,1.2179261701591454e-08
clean,0,freq__theta__P3-O1,0.0,1.3639296968406004e-09
clean,0,freq__alpha__P3-O1,0.0,3.217091255906967e-10
clean,0,freq__beta__P3-O1,0.0,2.528869806456224e-10
clean,0,freq__gamma__P3-O1,0.0,2.449437285141525e-10
clean,0,freq__delta__P4-O2,0.0,1.0418756682648336e-08
clean,0,freq__theta__P4-O2,0.0,1.5290134276049935e-09
clean,0,freq__alpha__P4-O2,0.0,1.105492977899847e-10
clean,0,freq__beta__P4-O2,0.0,2.7463248234505104e-10
clean,0,freq__gamma__P4-O2,0.0,2.437277743401976e-10
clean,0,freq__delta__P7-O1,0.0,1.4620387472288906e-08
clean,0,freq__theta__P7-O1,0.0,1.2001924861535224e-09
clean,0,freq__alpha__P7-O1,0.0,1.831745136639348e-10
clean,0,freq__beta__P7-O1,0.0,9.62550256599326e-10
clean,0,freq__gamma__P7-O1,0.0,1.6775850467402467e-09
clean,0,freq__delta__P7-T7,0.0,5.45985307930716e-09
clean,0,freq__theta__P7-T7,0.0,5.479422840415221e-10
clean,0,freq__alpha__P7-T7,0.0,1.8810575045097747e-10
clean,0,freq__beta__P7-T7,0.0,1.5326871659002441e-09
clean,0,freq__gamma__P7-T7,0.0,2.5656706512093853e-09
clean,0,freq__delta__P8-O2,0.0,8.515836928302161e-09
clean,0,freq__theta__P8-O2,0.0,1.4849187902317335e-09
clean,0,freq__alpha__P8-O2,0.0,2.4773939331928946e-10
clean,0,freq__beta__P8-O2,0.0,2.4058067989648573e-09
clean,0,freq__gamma__P8-O2,0.0,1.7109125860753235e-09
clean,0,freq__delta__T7-FT9,0.0,3.5138226294261005e-09
clean,0,freq__theta__T7-FT9,0.0,2.8419368635185895e-10
clean,0,freq__alpha__T7-FT9,0.0,1.0579976621637462e-10
clean,0,freq__beta__T7-FT9,0.0,5.598471885557179e-10
clean,0,freq__gamma__T7-FT9,0.0,7.660553801232316e-10
clean,0,freq__delta__T7-P7,0.0,5.4598530793071605e-09
clean,0,freq__theta__T7-P7,0.0,5.479422840415221e-10
clean,0,freq__alpha__T7-P7,0.0,1.8810575045097753e-10
clean,0,freq__beta__T7-P7,0.0,1.532687165900244e-09
clean,0,freq__gamma__T7-P7,0.0,2.565670651209385e-09
clean,0,freq__delta__T8-P8,0.0,1.524030569412149e-08
clean,0,freq__theta__T8-P8,0.0,1.3558378764363647e-09
clean,0,freq__alpha__T8-P8,0.0,3.1411958237622276e-10
