patient,file,start_sec,end_sec,label,condition,trial,channel_index,rmse_volts,normalized_rmse,correlation,noise_ratio,beta,method,factor,original_samples,retained_samples,sample_ratio,endpoint_policy,reduced_sample_rate,reduced_nyquist,clipped_fraction,substeps,noise_convention,initial_state,clip,target_frequency,mapping
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,13,1.3681907167834115e-05,0.29999999999999993,0.9595064710026807,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,14,4.296343439719596e-05,0.3,0.9573785797275661,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,15,3.0069475267152442e-05,0.29999999999999993,0.958511810175069,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,16,5.005076040556824e-05,0.3,0.957337877473807,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,17,3.275224630530416e-05,0.3,0.957823985003385,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,18,4.4811815674730967e-05,0.29999999999999993,0.95742313191846,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,19,2.707393308094287e-05,0.3,0.9589171566793224,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,20,3.275224630530416e-05,0.3,0.9577340518385165,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,21,3.994847541646112e-05,0.3,0.9578466013964244,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,0,4.022401202109376e-05,0.3,0.9573402379170974,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,1,5.425426846586646e-05,0.3,0.9585174719011499,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,2,3.981621460196758e-05,0.3,0.9578265418262233,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,3,4.650845293704771e-05,0.3,0.9564644499781659,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,4,5.287465907557754e-05,0.30000000000000004,0.9593048117636908,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,5,3.674699833253175e-05,0.30000000000000004,0.9579027941008224,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,6,4.059559775699689e-05,0.3,0.9585556200912818,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,7,6.87260497057649e-05,0.3,0.9577495844377854,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,8,6.934745391776108e-05,0.3,0.956384525816715,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,9,5.5542990634349004e-05,0.30000000000000004,0.9601325965582096,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,10,4.690533989406779e-05,0.3,0.9588589841074674,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,11,2.6255090000499612e-05,0.3,0.9590206267454889,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,12,4.014345320734233e-05,0.3,0.956214402895036,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,13,4.827687412003424e-05,0.3,0.9580514846911649,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,14,4.853849415344353e-05,0.29999999999999993,0.9570023543991828,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,15,4.96811752209658e-05,0.3,0.9572587752208381,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,16,4.796671089292147e-05,0.3,0.9579226856139966,0.3,0.0,,,,,,,,,,,,,,,
