Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_SNR_Smoothed,Seizure_SNR_Smoothed
9.299999999999997,-2.0720956515854323,3.5955664953620308,-4.395715253704773,3.0576329992877267,-1.3187506269242242,-4.714681169763691
9.399999999999999,-1.6851889016922794,3.211668605674865,-4.967352327364116,2.8169871587223465,-1.429552810405183,-4.58907332901896
9.499999999999998,-0.8535743419162733,2.523325112230499,-4.747654985373798,3.3185167453069635,-1.4661849063825505,-4.535043579059878
9.599999999999998,-1.3124458659203655,3.974800167884736,-3.71878197658389,3.211711346900567,-1.4682417688372567,-4.411054644665788
9.699999999999998,-1.5415568145719658,3.8093699012860425,-3.3629227192728806,3.501323940389673,-1.5103207276230262,-4.486265684557623
9.799999999999997,-1.1730272031223195,2.6289055993797263,-4.477189701897251,3.178675167134286,-1.4766095513375366,-4.4688807633972765
9.899999999999999,-1.6149877156901415,2.6465245277951226,-3.9547897338902422,2.7022994543330756,-1.4878159969813667,-4.6709870994762674
9.999999999999998,-1.0439293708446777,3.159644119479758,-5.433510734658667,2.8097994611375245,-1.6109864124621907,-4.734777539893274
10.099999999999998,-1.8289729218225284,2.6188300242017823,-5.590582729128933,4.369617685028228,-1.5395899427364705,-4.71218990209258
10.199999999999998,-1.738858075263518,2.4628167249727886,-5.444329776364317,3.1137778048668325,-1.4183813050407563,-4.859774943959136
10.299999999999997,-2.5854537472557944,3.0526101225459894,-4.6309363326455895,3.1717798216260604,-1.3439964190092084,-4.933664219999272
10.399999999999999,-0.88584884455545,2.7882905190610945,-5.461633473151627,3.742301411174622,-1.3337687035268064,-4.954937336157797
10.499999999999998,-1.4923392817423482,2.7218901320767386,-4.782255260269695,3.530292695901652,-1.414493387966974,-5.040674698953387
10.599999999999998,-1.5807124358800233,3.8295472048149164,-5.564704552859572,3.498416845827254,-1.4042886481544194,-5.1756474739723215
10.699999999999998,-0.0787648834065237,2.699357448965005,-3.9052741108626696,3.394882626474944,-1.3890702248744315,-5.166950252114784
10.799999999999997,-1.572611116307894,3.182598447390376,-5.529904823555472,3.6201192696560804,-1.356729264154462,-5.020533193007294
10.899999999999999,-1.204521102380188,2.897082918415184,-4.477533775452649,3.0332840337172216,-1.2043511416382529,-4.929212401604327
10.999999999999998,-0.6853678040144783,2.8967510154344702,-4.6874172081571,3.359391059982844,-1.142353188005082,-4.840545142987178
11.099999999999998,-0.539750082381755,2.559646154897633,-5.858380228511836,3.835660162269594,-1.058990865191546,-4.803198526984658
11.199999999999998,-1.9712287851949057,4.335818890467794,-4.182999604421416,3.0956883078761646,-1.015665336681555,-4.767255778370284
11.299999999999997,-1.7577685062222603,3.638743321163527,-4.766336661864626,3.913363510063119,-0.9516425782818098,-4.738351835542529
11.399999999999997,-1.8803994187189947,3.1030617147375636,-5.128940911843588,4.560875455862007,-0.9853392734527332,-4.644547949940786
11.499999999999998,-0.35834828339298785,3.122150387513267,-4.859527361951626,3.9052282220077323,-0.8876988673371697,-4.550197426122817
11.599999999999998,-0.2776127788245435,3.6639301630017185,-3.777180627275773,3.0115255454448553,-0.9177641493949692,-4.484255165719158
11.699999999999998,-0.21629696393953574,2.987860341227198,-4.096911541317503,4.190018319856824,-0.874392404152756,-4.487899010210061
11.799999999999997,-0.30896889163959057,2.780531738670333,-4.938917551936696,3.3322328017842673,-0.7861224571148626,-4.438793520977286
11.899999999999997,-1.5477234074338224,3.6090193942877398,-4.910840743474891,3.034841589300249,-0.7649070096425199,-4.453077234917944
11.999999999999998,-0.8429417395670026,2.811913266457386,-3.820867476611549,2.8825969605981965,-0.7118633484885087,-4.460132524471708
12.099999999999998,-0.3858651930143441,2.5257847010874768,-4.107951118093803,4.433351566665429,-0.5677806079663915,-4.458966659348641
12.199999999999998,-0.4263584846573745,3.680588825935323,-4.316586650111172,4.189025431844649,-0.46572094560104155,-4.465806600512659
12.299999999999997,-0.7297124495984929,2.730878169347769,-4.233902235190527,3.904447191878374,-0.49429580866203365,-4.38594181930777
12.399999999999997,-0.6165578303378096,3.410568370151881,-4.291543598915242,1.9936666644673944,-0.4726785404226392,-4.456662434805859
12.499999999999996,-1.056812055514947,2.9702422411901575,-5.407384971656215,4.362181414353955,-0.5613929603798339,-4.496450452640849
12.599999999999998,0.19808595555550362,3.4099624260298884,-4.7663560945901295,5.718814113220776,-0.5769974908505738,-4.441308075558186
12.699999999999998,-1.0096865224190403,3.7260594286695694,-4.938295765093491,2.6486346996186523,-0.5876231881186043,-4.436157356152235
12.799999999999997,0.030630074086349192,3.131075531999568,-3.9800613361213792,3.1166685187618355,-0.526989962952976,-4.329226666308771
12.899999999999997,-0.20701815532419715,2.912093629613068,-4.633115858153813,3.5095482398296762,-0.4553646422893192,-4.305524725711259
12.999999999999996,-0.3513954131031653,3.925564559310376,-3.6796889534471076,2.878921212429252,-0.4913210966445423,-4.324989082373432
13.099999999999998,-1.22369073595278,3.43886112573617,-3.596371182277082,3.247107864928376,-0.514779876667462,-4.368614876833198
13.199999999999998,-0.5039121556511034,2.940653751945227,-4.915506904222891,3.654867435616512,-0.5734621242441904,-4.30120522048479
13.299999999999997,-0.21517429765140222,2.3573632143099923,-4.918957026614441,3.794989796269481,-0.6409369720445078,-4.384827891573429
13.399999999999997,-1.3106113959969459,3.3715826910367404,-3.2535377277316337,2.5578585735926147,-0.6148275511566313,-4.501465849213195
13.499999999999996,-0.6446329513055995,2.4559731766887354,-3.9030344750235955,2.9350317689829812,-0.6007375407919702,-4.511341617108054
13.599999999999998,-0.3442785693455686,3.625018927619088,-5.370437761022881,2.751807395951119,-0.6567133652122028,-4.534534537900605
13.699999999999998,-0.03327115079229083,2.4014448808687288,-3.6389737979812486,3.0774382089178647,-0.5331349069137906,-4.486216875655365
13.799999999999997,-0.7130300285118409,1.9122814070145024,-5.165841919618732,4.349272290912117,-0.5935664664815693,-4.500686801887786
13.899999999999997,-0.9139209782154959,2.8898684711624005,-5.297445995097924,4.685548311042951,-0.58158789667147,-4.438563920890422
13.999999999999996,-0.988355235898118,3.3411843647764576,-5.31824280255588,4.563874628374111,-0.4351694398835436,-4.4377209099473935
