Noise_Intensity,Non_Seizure_Coherence,Seizure_Coherence,Non_Seizure_CV,Seizure_CV,Non_Seizure_Transitions,Seizure_Transitions
17.5,1.2351223760836991,1.2442188129905893,0.8272352730715039,0.8217436362357327,137.53,137.79
18.0,1.2358702033054443,1.2223308098330103,0.8208141515115658,0.8339727343782046,143.87,136.51
18.5,1.233598795083253,1.2123736698467051,0.8268215368321651,0.8430410266450562,141.13,143.26
19.0,1.2507119804704052,1.2491042522527598,0.8147253300260499,0.8197111689594898,142.15,144.24
19.5,1.273320817488682,1.2370423748926391,0.8012465887433575,0.8241457940530297,144.8,143.67
20.0,1.2743949668884014,1.2748153827595803,0.802021484071523,0.8019912021356304,146.02,151.49
20.5,1.2822034047681488,1.2446434263752861,0.7973889333456039,0.8188664239243861,144.44,144.63
21.0,1.2658234976811102,1.3041583562194048,0.8105865593532547,0.7798277964930752,151.91,147.0
21.5,1.2858428424585646,1.293460524935991,0.7936126511435585,0.7877485253712149,154.92,144.99
22.0,1.3040995661751376,1.294208253509978,0.7806824586712448,0.7881161539563485,155.69,152.45
22.5,1.300910408986577,1.2826401841972899,0.7812740618250507,0.7925328312301093,150.38,150.72
23.0,1.3359988828373415,1.302671988778774,0.7653540468770818,0.784132775172438,152.2,150.91
23.5,1.336241433897564,1.3268432685034681,0.7627369495095896,0.7652705186831011,160.01,157.56
24.0,1.2940251016824567,1.3116304045658174,0.793140158628195,0.7810786001523617,155.84,157.87
24.5,1.3155129599836997,1.3156454610470059,0.7789083328397228,0.7726031429062603,158.64,156.26
25.0,1.3352552702846763,1.3339193938186689,0.7627292310934802,0.7650250729269648,155.67,158.81
25.5,1.3280497237692683,1.3516415454476547,0.7660882546099301,0.7515838984364075,165.45,164.0
26.0,1.3777536227242628,1.3563552455448091,0.7418564438886429,0.7478439698922702,163.6,159.07
26.5,1.3505838860730055,1.3724836876796058,0.755249516876472,0.7408768589369142,162.37,159.92
27.0,1.3560918634982675,1.3311356589793417,0.7511119123990002,0.7647903644180387,165.74,166.33
27.5,1.342940615430831,1.3757966498524221,0.7573771177705706,0.7385113724394966,167.28,163.65
28.0,1.340083456426698,1.3399294893052969,0.7621101045212039,0.7651852494587085,168.34,161.58
28.5,1.3922968181310846,1.3363700289601113,0.7306439470468843,0.761068979716025,166.31,170.11
29.0,1.3969365639894382,1.3813933725162897,0.7278038420797553,0.7378766983606603,173.5,171.39
29.5,1.3419591725254432,1.386444722397377,0.7591381891587119,0.7357477282811119,168.47,171.09
30.0,1.3777195466859435,1.3895089344938396,0.7398954584729842,0.7318363099599842,173.97,167.98
30.5,1.3878760420413312,1.393800359785948,0.7329734492523494,0.7301316193111335,171.66,172.87
31.0,1.4031078550332217,1.39694948007726,0.7275062506642181,0.7331506250347735,173.41,176.13
31.5,1.405238626147102,1.4279186819075298,0.727096067335628,0.7126276410984148,175.78,172.44
32.0,1.4353406948651182,1.403165763994179,0.7103299614529849,0.7277541648992338,177.99,173.21
32.5,1.4207810689024125,1.378834076770154,0.7179932975041742,0.7382085962020208,178.31,172.07
33.0,1.4124167378061439,1.4423407148009546,0.722207726741045,0.7054578190199224,174.49,177.18
33.5,1.4212370707135875,1.4198406413902576,0.7159248006208583,0.7148539315222163,175.93,178.8
34.0,1.4154842731700332,1.431974306399292,0.7196656626889384,0.709568317674935,179.96,178.47
34.5,1.4512558347851712,1.420235060897512,0.7005329303348783,0.7169411333063515,180.53,184.81
35.0,1.460036194946624,1.4484527254947164,0.6960415725682227,0.7026859616693233,183.69,182.43
35.5,1.4141818191978859,1.4450965545818224,0.7212136055059009,0.7028719690764658,183.56,185.96
36.0,1.4617006523030711,1.4460869061976296,0.7004984760384545,0.705591683684824,183.01,180.0
36.5,1.459811797694282,1.4443327811604703,0.6963628471581579,0.7049723248386573,182.24,184.32
37.0,1.4500566524372989,1.4008505774358782,0.7035983705407409,0.7243844432142842,182.74,186.1
37.5,1.4674944997602992,1.4597016779859977,0.6901447806948631,0.6974092947964461,187.99,181.77
38.0,1.4642364430834736,1.4679588529469572,0.6978163560585078,0.6898299470433034,186.83,187.21
38.5,1.4682649639478855,1.4364845087109908,0.6936526455982513,0.7097256462578935,189.85,187.79
39.0,1.4886880679059036,1.4411512917592617,0.6822793853157278,0.7056747751812577,189.08,190.17
39.5,1.4816467484521545,1.4866004727535056,0.6902472337228128,0.6823767838858436,187.0,193.96
40.0,1.4441380764830998,1.4907151443425868,0.7039071592525288,0.6824054966226702,190.69,191.68
40.5,1.4942608906696666,1.4829562223429584,0.6819643690621737,0.6848891192857649,192.18,192.41
41.0,1.4688550529944633,1.5307839472336182,0.6930727877017708,0.6656105063931524,188.67,191.75
41.5,1.4946542248844035,1.476417005103512,0.68570063429464,0.6875533193596384,192.33,193.14
42.0,1.5226327503850405,1.4922052218369217,0.6713695302322827,0.680592972886075,191.79,195.08
42.5,1.461152830286774,1.4756110019066588,0.6965335339533776,0.6897311746121474,194.21,194.55
43.0,1.5167864340181805,1.5123663652682364,0.6751425345290424,0.6720487633385172,193.91,196.92
43.5,1.4959263234303188,1.532547967487067,0.6783475181084972,0.6632177486794923,199.38,200.03
44.0,1.4788066238461113,1.547281224973449,0.6896723550115695,0.6587824612993591,199.1,199.81
44.5,1.5105406682569702,1.5023957150507443,0.6737102883020499,0.677281326873908,197.98,199.58
45.0,1.527391974117765,1.5205162530399932,0.6672979784201352,0.6705462351694833,198.78,196.08
45.5,1.5424704814001762,1.4984290771378426,0.6595299802986655,0.6806258709446226,203.47,199.61
46.0,1.547618085252765,1.5476096706721103,0.6569388661982724,0.6592346136292485,198.01,201.98
46.5,1.5147309048001034,1.5638725448828865,0.6737966118549646,0.6477995085293387,206.32,204.68
47.0,1.5308953233481966,1.545206156454038,0.665613461812099,0.6601528802497417,203.77,202.95
47.5,1.5196454110197297,1.5440626608483345,0.6691942145895742,0.6569034453009066,206.46,208.48
48.0,1.5310699142201005,1.5492668775228227,0.6670628877271106,0.656877390206761,206.35,204.55
48.5,1.5697618026437221,1.568521683604682,0.6469169778662259,0.6491500514623724,206.03,208.61
49.0,1.5362924177364077,1.5696099157553363,0.6627992308675299,0.6485146044520494,204.01,205.53
49.5,1.567149447893361,1.578868476577469,0.6494821964236505,0.6435128120880168,206.18,203.96
50.0,1.5619585978083572,1.5628361761922918,0.6522055087142138,0.6511217794631559,209.8,206.54
