Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
0.231,-6.677659789985997,5.212719882936689,-7.317488604663028,3.4993764619450194,19.3,15.7
0.23600000000000002,-7.717673789591027,4.999451028370658,-7.94304191445665,3.5747843941236375,12.15,18.7
0.241,-6.218380433456069,4.453296658514405,-7.388480834364141,2.869971341074452,16.65,13.6
0.246,-4.776546055022316,3.1859380767030636,-8.455348019381749,5.49369982488724,11.65,13.6
0.251,-5.186378073340602,5.601921498116232,-8.39927189195632,5.579888648584867,15.4,16.75
0.256,-5.979085684373638,4.319036892702875,-8.317964772082956,4.507168939711031,16.7,13.45
0.261,-8.083724171062707,5.53356360958709,-7.311072876810767,3.670469824067462,16.0,16.2
0.266,-6.087153053570593,4.337123913498951,-7.39962667695892,3.93128431900212,10.4,11.85
0.271,-4.942415836879965,4.699485751554426,-8.289125906850284,4.4152202874429864,20.85,15.35
0.276,-6.2405582377038495,4.791429848395596,-7.977807788032772,3.472087397856777,10.25,15.3
0.281,-6.619965609370522,5.2424033673234405,-7.514418908285537,4.673180821394728,17.65,16.2
0.28600000000000003,-6.900141688879806,4.419334883282821,-9.765877550618434,4.268705256157323,19.95,17.05
0.291,-7.527230913091318,4.362338859306089,-9.592948604699272,4.571620140522741,18.4,14.55
0.296,-6.008515936886338,5.469764619180304,-8.742705280908869,4.832198090001069,13.5,22.35
0.301,-6.559655447650497,3.9154838987614142,-6.879245600909611,3.8552469413754693,24.95,16.9
0.306,-6.323909384036305,2.9510414649881636,-8.99288258077133,4.106553412585189,14.75,20.2
0.311,-7.155025422491258,5.177822170368915,-9.073222512253881,5.2778645924662495,27.75,25.95
0.316,-6.950894980183986,6.166064639237023,-7.506977392132067,3.9899830242910737,14.6,18.7
0.321,-7.125995073134575,4.5478717447071535,-7.218414042695434,4.369390288506202,26.4,20.9
0.326,-4.5930801621606925,4.730823305830958,-7.527720091492054,2.606879469061833,21.45,16.7
0.331,-6.298862599084784,2.574022416721362,-8.052116998538812,3.3729560938440333,16.5,22.0
0.336,-6.500666279197295,5.820063978243549,-8.849452329693696,5.033828626246558,12.55,17.25
0.341,-6.253095840932107,4.268971938914463,-9.819079500901008,3.9515788277212773,18.25,22.3
0.34600000000000003,-6.179147592419893,4.879746844274085,-7.889903931851023,3.376367597166681,15.25,25.45
0.35100000000000003,-7.097292024815667,3.2316862357071834,-8.54650248857181,4.0146458532023805,21.9,15.5
0.356,-7.122271844406261,5.018345337810667,-8.881583244648585,4.057872543852603,22.4,14.7
0.361,-8.204745908262913,3.6400405469628776,-9.745526638912578,3.1429867021012017,24.95,23.0
0.366,-6.396860214907095,3.3942594825689016,-8.537364157490465,4.433205027508226,24.35,22.65
0.371,-5.255876002201445,3.7400264946015227,-9.637244573161773,4.22822449103759,21.9,22.4
0.376,-7.331289045185923,4.5308203394550635,-10.011592433467055,4.71198561018234,23.75,16.15
0.381,-7.820956024789723,4.363962552293257,-7.942558728751078,4.459177183336156,19.7,29.8
0.386,-6.316579773882602,5.14095268676855,-9.257411357559153,3.8465772498193314,24.0,20.1
0.391,-6.093718858809699,4.2377335627662545,-8.334134248022256,3.5940858965153364,28.55,22.75
0.396,-6.848796817139042,4.58272463058697,-9.245807533031805,3.477084000729969,24.7,24.4
0.401,-6.373162977503889,4.822651660609983,-7.943652939569449,4.514731402040905,32.9,30.3
0.406,-6.208330564732481,4.264398627662746,-9.366670847971848,3.624445420865365,25.65,26.4
0.41100000000000003,-6.352972478551516,4.713783397188736,-9.1293208862128,5.333791989061542,22.45,24.15
0.41600000000000004,-8.002106405130686,4.766316416043698,-9.630507020594345,4.506206893103758,34.05,29.7
0.421,-7.664007616662763,4.714398051463836,-7.422179147818371,3.285138161496865,22.05,21.3
0.426,-5.426996346581713,4.656300549563802,-7.804998346197611,3.917578214643531,32.45,24.85
0.431,-6.0962990107475585,4.202442590693762,-8.388681517999668,5.8481893254445385,22.8,26.95
0.436,-6.530654227546817,3.5459577697655797,-7.735110597689037,4.228275432704396,25.2,27.75
0.441,-7.1307814964742935,4.371935337539435,-6.50282166339841,3.9761610079395857,22.35,26.05
0.446,-6.9535106914161275,3.729479529256789,-8.121015253512542,3.1861944830158864,29.25,22.7
0.451,-5.554302434443707,3.044932556564787,-8.397435207820381,4.251037241401807,24.3,28.7
0.456,-5.9737644219743045,5.080778433254995,-7.454924321035678,3.739020473343436,26.15,29.8
0.461,-7.453338279190301,4.871323656980764,-7.179477706523116,4.395377410052513,27.25,23.75
0.466,-7.3974003473603505,4.058327801816696,-8.050452070342214,4.34312999038032,27.0,32.55
0.47100000000000003,-7.789507753045328,3.769553480182921,-7.191142330031627,3.1890548174670443,30.3,20.4
0.47600000000000003,-6.39207587021306,4.568479788975292,-9.316087985024947,4.010224980582776,26.95,22.5
0.481,-7.620896671719637,4.389996817666918,-9.04710780497503,4.287244488370299,23.65,24.15
0.486,-6.551225084403258,2.7793682156809174,-8.52984879005404,3.996515269318039,31.2,28.0
0.491,-9.072303859959447,4.581498991185727,-7.968114978100519,4.202189460863711,26.15,33.95
0.496,-6.920477903146304,3.497731501774837,-10.167600956004637,5.341558580099884,27.2,27.45
0.501,-8.029283150803755,3.730215796984351,-7.580861782738819,3.7464450818751107,31.4,26.25
