Noise_Intensity,Non_Seizure_CR,Seizure_CR,Non_Seizure_CR_Smoothed,Seizure_CR_Smoothed
1.8070707070707075,1.1833125161003917,1.152482361118992,1.1408726931491928,1.0919432983376374
1.831818181818182,1.1806355376684448,1.0510531989339236,1.1219762331992933,1.0741303578680583
1.8565656565656568,1.1123342214710397,0.932153789241795,1.113096197532202,1.0757034517195228
1.8813131313131315,0.9692255243231436,1.093815648380973,1.1002758881701775,1.0773590372633346
1.9060606060606065,1.1713152394144626,1.1564003468419377,1.1071349525041354,1.0906446664514575
1.9308080808080808,1.0615359551204513,1.137865018127142,1.093421166270167,1.1088324842713109
1.955555555555556,1.1290506956049935,1.1460717301524994,1.1067760881381679,1.1349062083680452
1.980303030303031,1.1341314300010754,1.0959829377062345,1.1100614350634432,1.1456888121622342
2.005050505050505,1.1215057212295494,1.1097355335653685,1.1001315728823586,1.1267562992522797
2.02979797979798,1.046952763594966,1.1702705356059626,1.057818140216518,1.1073540948741347
2.0545454545454547,1.097205268789105,1.0675079606268074,1.046548920917552,1.0914846345063398
2.0792929292929294,0.955947151580304,1.0808627031780969,1.0392795676310989,1.0713792392182906
2.104040404040404,1.009756297346552,1.0738244077248535,1.0513502081217763,1.0774217081056559
2.128787878787879,1.0607522188391356,1.0224716588029046,1.084997727989857,1.0628170722202963
2.1535353535353536,1.1389642148425754,1.046611704826499,1.1023049687948077,1.0482455599979343
2.1782828282828284,1.1876159545482388,1.0695872446691568,1.1107306626595657,1.0515514076466874
2.203030303030303,1.148759886849795,1.1349179210857598,1.1256193284847424,1.054698467148886
2.227777777777778,1.1239498682332667,0.9780844583169486,1.1147446707619255,1.068511000792309
2.2525252525252526,0.9813245579470482,1.0511274455286843,1.0934001524505634,1.081438681008501
2.277272727272728,1.078096239030809,1.086636654149946,1.06106237061085,1.0612913917456706
2.302020202020202,1.0700609082224024,1.109435020265829,1.0444615568665754,1.0509237172309653
2.326767676767677,1.0620550551476768,1.078597786181456,1.034448261175705,1.0412680913225119
2.351515151515152,1.0282903725569306,1.0050988748685388,1.044181624142459,1.0481994028167532
2.3762626262626263,1.017873998921329,0.9468508821573264,1.056259279752562,1.0423124980828877
2.401010101010101,1.070623233722137,1.0957121652015651,1.0573643653510563,1.047392532162651
2.425757575757576,1.0293909924448472,1.0533454487829566,1.0567014457146033,1.0571603037246964
2.4505050505050505,1.1094017922467527,1.0863734962840177,1.0542705208432008,1.0716158127690218
2.4752525252525253,1.029693133797175,1.1181883471826075,1.0500715907368483,1.090759059295627
2.5,1.0448015053188104,1.0918969198342028,1.0441046553955464,1.1145900433045124
