Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
5.199999999999999,-3.231612206257618,3.2521796121174757,-6.747356216716372,3.583960623189689,85.15,89.75
5.299999999999999,-2.0657645044805077,3.8435154359587385,-5.555477981890336,2.083491455287586,88.55,94.55
5.399999999999999,-1.470906388767105,2.320695226843058,-6.401884808391543,4.15380313760464,90.75,100.0
5.499999999999999,-1.6169422601843766,3.343198525637663,-7.394594195560399,4.294340131071327,99.1,87.25
5.599999999999999,-3.4459956707710644,2.6085267743265557,-6.515180731733885,3.5853366477035244,94.4,93.95
5.699999999999999,-3.41122953179399,3.1146288332625955,-5.832405434561209,4.16764579177369,89.9,88.4
5.799999999999999,-2.4087270145382664,3.131315079765564,-6.4925828309828,3.8723362786442794,103.2,88.45
5.899999999999999,-1.8687216025191913,3.0760315328265904,-6.065216192536338,4.417515661185356,93.25,94.75
5.999999999999999,-2.422978090369647,2.945453605008185,-6.173972516270178,2.6524879458315143,99.85,95.8
6.099999999999999,-3.0114206982855043,4.161721512875047,-6.093714174950918,4.082886261421684,91.4,99.7
6.199999999999998,-2.2947554002024124,2.6919074188098966,-7.690817233115851,3.799150679830713,95.85,94.7
6.299999999999999,-2.919253272179935,3.1250179263089186,-6.122237657033762,3.29503875248191,95.05,102.25
6.399999999999999,-1.9325707359890305,3.1099641228177592,-6.269171130886187,3.6891433441629675,102.3,95.4
6.499999999999998,-0.6137563365047793,3.6331159688571506,-6.003085634410086,3.76931783286568,105.5,101.5
6.599999999999999,-2.7969496052895946,2.3821841769464664,-6.006306939576616,3.175001880808135,99.95,96.25
6.699999999999998,-2.3130154639173535,3.494835382347186,-6.622475928644667,3.919469104488996,99.75,91.85
6.799999999999999,-3.370339619891348,3.801029613674157,-5.34359559946938,3.337303821590544,98.05,103.9
6.899999999999999,-2.8719343142479348,3.052821109485505,-5.056427870759479,3.530599411104308,98.2,102.85
6.999999999999998,-2.065371908165902,3.0625163034795455,-5.629358616430658,3.5074495793499123,104.75,105.65
7.099999999999999,-2.0515349756817165,2.7480446146471462,-5.787384053319715,2.406552244770152,106.15,92.4
7.199999999999998,-1.4844233314924176,3.5666312761198484,-5.968221090453607,3.6620137363251843,107.05,106.55
7.299999999999999,-2.261222129506778,3.0378791760275865,-6.660932524862444,3.4578495065333046,98.05,102.1
7.399999999999999,-1.5503142750870644,3.3295689917115414,-5.131593539422583,2.4206612843739372,94.1,102.5
7.499999999999998,-0.6881562317389397,2.7293431543953015,-6.4319640054243195,3.838481958896728,111.0,101.6
7.599999999999999,-2.419041972692372,3.9648134432728885,-5.909887296409595,2.7647873683166884,112.55,108.9
7.699999999999998,-2.8821599689561914,2.831653815116233,-5.940690493285715,3.0583637826464822,94.5,99.3
7.799999999999998,-1.4218729954068206,1.9850139545003398,-5.120879502697237,3.9524049874671126,103.4,104.1
7.899999999999999,-0.6000685305139314,2.4903896939218138,-7.141357127927067,2.934823478648598,109.85,109.5
7.999999999999998,-0.9871147949457418,2.799261147152587,-6.158399561096694,2.905492566315988,103.7,104.25
8.099999999999998,-2.1871564416093556,3.099851763435919,-4.465898665834387,3.168459962008855,105.45,105.5
8.2,-1.9158918532929534,3.5236678884304085,-6.2930680864405515,2.9376679760234197,111.8,106.55
8.299999999999997,-1.8590564985400637,3.0576413583465074,-5.30739523579584,2.9906604589284544,104.25,104.6
8.399999999999999,-1.4713405457067426,3.1764805637113573,-5.383037888125276,3.0394975580299435,114.2,105.9
8.499999999999998,-1.118991479665976,3.626788028376378,-5.003587742671433,3.7866097655250863,112.45,106.9
8.599999999999998,-0.7252766758530229,3.239030922213731,-5.9614299457587965,3.574727629595307,112.55,112.35
8.699999999999998,-1.6018175286942644,3.388723284451204,-5.912300771206798,3.8433350953284955,107.6,100.75
8.799999999999999,-1.759775825785018,3.169973614364581,-7.050330574334073,3.6928571849195975,105.3,102.65
8.899999999999999,-2.627061052477079,3.527315075951622,-4.878908557870257,3.2324678156951023,107.25,111.85
8.999999999999998,-0.12559961737227918,2.508387204713316,-4.61788158269445,2.83996332636163,112.7,111.95
9.099999999999998,-1.2276635441750405,3.0457305923624554,-5.1355709345131,4.207987688905624,114.05,113.2
9.199999999999998,-1.4447215254193213,2.113595246883947,-4.75572049680517,3.6028262284199264,106.55,116.95
9.299999999999997,-2.072095781638439,3.5955664023186293,-4.395715252489898,3.057633000738929,107.35,111.95
9.399999999999999,-1.6851887787490907,3.2116685960612017,-4.967352330164372,2.8169871668488353,118.95,118.45
9.499999999999998,-0.8535743603175705,2.5233252634911723,-4.747654987110784,3.3185167457524787,115.5,96.95
9.599999999999998,-1.312445879165828,3.974800053745188,-3.7187819851137704,3.2117113568016875,110.85,106.85
9.699999999999998,-1.5415567894360938,3.809369938541591,-3.3629227170919647,3.501323944467671,116.65,108.3
9.799999999999997,-1.173027360515476,2.6289057447487334,-4.477189701269268,3.178675169146743,116.25,110.15
9.899999999999999,-1.6149877418255705,2.6465244665781356,-3.954789739530284,2.702299451165145,108.15,115.75
9.999999999999998,-1.0439293273111492,3.1596441258517416,-5.433510734299472,2.80979946190045,115.0,122.9
10.099999999999998,-1.8289729704404665,2.618829868316206,-5.5905827216413995,4.369617680664945,111.75,113.85
10.199999999999998,-1.7388580561198925,2.462816640022497,-5.44432977280803,3.1137778051037457,117.4,107.6
10.299999999999997,-2.5854538698931373,3.05261010434293,-4.630936336388649,3.171779824002996,107.15,111.3
